Data;4189 - Taxa de juros - Selic acumulada no mês anualizada base 252 - % a.a.
01/2000;18,94
02/2000;18,87
03/2000;18,85
04/2000;18,62
05/2000;18,51
06/2000;18,04
07/2000;16,85
08/2000;16,52
09/2000;16,56
10/2000;16,60
11/2000;16,51
12/2000;16,19
01/2001;15,49
02/2001;15,20
03/2001;15,39
04/2001;16,02
05/2001;16,43
06/2001;17,28
07/2001;18,57
08/2001;19,00
09/2001;19,06
10/2001;19,06
11/2001;19,05
12/2001;19,05
01/2002;19,05
02/2002;18,97
03/2002;18,72
04/2002;18,38
05/2002;18,37
06/2002;18,10
07/2002;18,17
08/2002;17,84
09/2002;17,89
10/2002;19,59
11/2002;21,25
12/2002;23,03
01/2003;25,06
02/2003;25,68
03/2003;26,32
04/2003;26,32
05/2003;26,31
06/2003;26,09
07/2003;25,36
08/2003;23,50
09/2003;21,02
10/2003;19,54
11/2003;18,31
12/2003;16,91
01/2004;16,32
02/2004;16,30
03/2004;16,19
04/2004;15,96
05/2004;15,77
06/2004;15,80
07/2004;15,77
08/2004;15,86
09/2004;16,09
10/2004;16,41
11/2004;16,96
12/2004;17,50
01/2005;17,93
02/2005;18,47
03/2005;18,97
04/2005;19,32
05/2005;19,61
06/2005;19,75
07/2005;19,72
08/2005;19,75
09/2005;19,61
10/2005;19,25
11/2005;18,87
12/2005;18,24
01/2006;17,65
02/2006;17,28
03/2006;16,74
04/2006;16,19
05/2006;15,70
06/2006;15,18
07/2006;14,98
08/2006;14,66
09/2006;14,17
10/2006;13,95
11/2006;13,65
12/2006;13,19
01/2007;13,13
02/2007;12,93
03/2007;12,74
04/2007;12,58
05/2007;12,43
06/2007;12,03
07/2007;11,73
08/2007;11,43
09/2007;11,22
10/2007;11,18
11/2007;11,18
12/2007;11,18
01/2008;11,18
02/2008;11,18
03/2008;11,18
04/2008;11,37
05/2008;11,63
06/2008;12,09
07/2008;12,36
08/2008;12,92
09/2008;13,39
10/2008;13,66
11/2008;13,64
12/2008;13,66
01/2009;13,32
02/2009;12,66
03/2009;11,70
04/2009;11,11
05/2009;10,16
06/2009;9,54
07/2009;9,01
08/2009;8,65
09/2009;8,65
10/2009;8,65
11/2009;8,65
12/2009;8,65
01/2010;8,65
02/2010;8,65
03/2010;8,65
04/2010;8,72
05/2010;9,40
06/2010;9,94
07/2010;10,32
08/2010;10,66
09/2010;10,66
10/2010;10,66
11/2010;10,66
12/2010;10,66
01/2011;10,85
02/2011;11,17
03/2011;11,62
04/2011;11,74
05/2011;11,92
06/2011;12,10
07/2011;12,25
08/2011;12,42
09/2011;11,91
10/2011;11,70
11/2011;11,40
12/2011;10,90
01/2012;10,70
02/2012;10,40
03/2012;9,82
04/2012;9,35
05/2012;8,87
06/2012;8,39
07/2012;8,07
08/2012;7,85
09/2012;7,39
10/2012;7,23
11/2012;7,14
12/2012;7,16
01/2013;7,11
02/2013;7,12
03/2013;7,15
04/2013;7,26
05/2013;7,42
06/2013;7,90
07/2013;8,23
08/2013;8,45
09/2013;8,90
10/2013;9,25
11/2013;9,45
12/2013;9,90
01/2014;10,17
02/2014;10,43
03/2014;10,65
04/2014;10,87
05/2014;10,90
06/2014;10,90
07/2014;10,90
08/2014;10,90
09/2014;10,90
10/2014;10,92
11/2014;11,15
12/2014;11,58
01/2015;11,82
02/2015;12,15
03/2015;12,58
04/2015;12,68
05/2015;13,15
06/2015;13,58
07/2015;13,69
08/2015;14,15
09/2015;14,15
10/2015;14,15
11/2015;14,15
12/2015;14,15
01/2016;14,15
02/2016;14,15
03/2016;14,15
04/2016;14,15
05/2016;14,15
06/2016;14,15
07/2016;14,15
08/2016;14,15
09/2016;14,15
10/2016;14,05
11/2016;13,90
12/2016;13,65
01/2017;13,17
02/2017;12,82
03/2017;12,15
04/2017;11,59
05/2017;11,15
06/2017;10,15
07/2017;10,01
08/2017;9,15
09/2017;8,35
10/2017;8,01
11/2017;7,40
12/2017;7,00
01/2018;6,90
02/2018;6,72
03/2018;6,58
04/2018;6,40
05/2018;6,40
06/2018;6,40
07/2018;6,40
08/2018;6,40
09/2018;6,40
10/2018;6,40
11/2018;6,40
12/2018;6,40
01/2019;6,40
02/2019;6,40
03/2019;6,40
04/2019;6,40
05/2019;6,40
06/2019;6,40
07/2019;6,40
08/2019;5,90
09/2019;5,71
10/2019;5,38
11/2019;4,90
12/2019;4,59
01/2020;4,40
02/2020;4,19
03/2020;3,95
04/2020;3,65
05/2020;3,01
06/2020;2,58
07/2020;2,15
08/2020;1,94
09/2020;1,90
10/2020;1,90
11/2020;1,90
12/2020;1,90
01/2021;1,90
02/2021;1,90
03/2021;2,23
04/2021;2,65
05/2021;3,29
06/2021;3,76
07/2021;4,15
08/2021;5,01
09/2021;5,43
10/2021;6,30
11/2021;7,65
12/2021;8,76
01/2022;9,15
Fonte;BCB-Demab
